timestamp,dex,cex
1631236328000,5.9851,6.1420
1631236358000,5.9809,6.2050
1631236508000,5.9809,6.1680
1631236568000,5.9809,6.2160
1631236658000,5.9809,6.1880
1631236688000,5.9818,6.2200
1631236748000,5.9807,6.1950
1631236848000,5.9835,6.2040
1631236968000,5.9837,6.1870
1631237028000,5.9637,6.1690
1631237058000,5.9637,6.1190
1631237088000,5.9677,6.1210
1631237118000,5.9542,6.1280
1631237148000,5.9545,6.0840
1631237178000,5.9534,6.0770
1631237238000,5.9534,6.0960
1631237358000,5.9518,6.1230
1631237388000,5.9434,6.0910
1631237488000,5.9434,6.0800
1631237518000,5.9442,6.1420
1631237648000,5.8321,6.1480
1631237678000,5.8598,6.1330
1631237708000,5.8598,6.1250
1631237838000,5.8610,6.1090
1631237898000,5.8627,6.1680
1631237958000,5.8652,6.2480
1631237988000,5.8671,6.2780
1631238048000,5.8671,6.2690
1631238078000,5.8694,6.3120
1631238108000,5.8697,6.2660
1631238258000,5.8720,6.2500
1631238348000,5.8745,6.3960
1631238378000,5.8754,6.4520
1631238438000,5.8744,6.4770
1631238528000,5.8762,6.4100
1631238558000,5.8780,6.3810
1631238618000,5.8780,6.3740
1631238678000,5.9033,6.3410
1631238738000,5.9035,6.3020
1631238828000,5.9058,6.3500
1631238858000,5.9041,6.4770
1631238888000,5.9025,6.4600
1631238918000,5.9118,6.4810
1631239008000,5.9304,6.4730
1631239038000,5.9304,6.5150
1631239228000,5.9339,6.4970
1631239258000,5.9342,6.3660
1631239318000,5.9361,6.3360
1631239468000,5.9405,6.3110
1631240638000,5.9426,6.2750
1631240668000,5.9440,6.2270
1631241178000,5.9438,6.2370
1631241238000,5.9451,6.2270
1631241358000,5.9459,6.2090
1631241388000,5.9441,6.1910
1631241418000,5.9443,6.1930
1631241518000,5.9384,6.1870
1631241548000,5.9673,6.1810
1631241608000,5.9357,6.1640
1631241668000,5.9646,6.1620
1631241698000,5.9597,6.1930
1631241788000,5.9886,6.1760
1631241818000,5.9814,6.1480
1631241848000,5.9814,6.1390
1631241878000,5.9814,6.1180
1631241908000,6.0140,6.1420
1631241938000,6.0063,6.1430
1631241998000,6.0354,6.1540
1631242028000,6.0303,6.1360
1631242058000,6.0300,6.1110
1631242088000,6.0297,6.1090
1631242118000,6.0277,6.1400
1631242148000,6.0277,6.1440
1631242178000,6.0569,6.1810
1631242208000,6.0504,6.1850
1631242308000,6.0774,6.1690
1631242338000,6.0702,6.1980
1631242368000,6.0698,6.2300
1631242428000,6.0993,6.2180
1631242458000,6.0925,6.2270
1631242488000,6.0918,6.1890
1631242548000,6.0918,6.1960
1631242788000,6.1214,6.2120
1631242818000,6.1070,6.2170
1631242878000,6.1130,6.2900
1631242908000,6.1429,6.2720
1631242938000,6.1426,6.2600
1631242968000,6.1426,6.2810
1631242998000,6.1425,6.2900
1631243058000,6.1725,6.3250
1631243088000,6.1725,6.2680
1631243118000,6.1690,6.2690
1631243148000,6.1688,6.2690
1631243298000,6.1690,6.2510
1631243628000,6.1369,6.1940
1631244418000,6.1369,6.1520
1631244598000,6.1369,6.1330
1631244808000,6.1368,6.1740
1631245048000,6.1376,6.1490
1631245228000,6.1376,6.0930
1631245258000,6.1260,6.0500
1631245318000,6.1086,6.0460
1631245348000,6.1085,6.0520
1631245378000,6.0912,6.0640
1631245408000,6.0784,6.0560
1631245498000,6.0760,6.0060
1631245528000,6.0730,6.0070
1631245618000,6.0713,6.0320
1631245768000,6.0713,6.0430
1631246008000,6.0645,6.0610
1631246038000,6.0645,6.0150
1631246228000,6.0645,6.0340
1631246258000,6.0231,6.0310
1631246348000,6.0231,6.0310
1631247098000,6.0257,6.0650
1631247338000,6.0257,6.0990
1631247668000,6.0370,6.0350
1631247788000,6.0251,6.1030
1631247908000,6.0183,6.0710
1631248378000,6.0402,6.0470
1631249060000,6.0391,6.1180
1631249300000,6.0390,6.0710
1631249360000,6.0390,6.1030
1631249420000,6.0390,6.1050
1631249510000,6.0388,6.1350
1631249630000,6.0388,6.1270
1631249690000,6.0388,6.1200
1631249750000,6.0679,6.1380
1631249810000,6.0868,6.1660
1631249840000,6.0832,6.1370
1631249870000,6.0829,6.1270
1631250080000,6.0792,6.0960
1631250170000,6.0824,6.0710
1631251150000,6.0537,6.0400
1631251750000,6.0556,6.0180
1631251930000,6.0556,5.9660
1631252020000,6.0454,5.9670
1631252200000,6.0454,5.9820
1631252230000,6.0424,6.0070
1631252410000,6.0367,6.0140
1631252470000,6.0333,6.0210
1631253060000,6.0050,6.0260
1631253150000,6.0069,6.0340
1631253240000,6.0069,6.0500
1631253330000,6.0069,6.0480
1631253720000,6.0357,6.0520
1631253930000,6.0648,6.1130
1631253960000,6.0615,6.1450
1631253990000,6.0679,6.1320
1631254020000,6.0692,6.1360
1631254050000,6.0692,6.1470
1631254080000,6.0696,6.1440
1631254290000,6.0702,6.1580
1631255310000,6.0473,6.1230
1631255550000,6.0422,6.0550
1631255820000,6.0387,6.0450
1631255880000,6.0392,6.0470
1631255910000,6.0389,6.0350
1631256120000,6.0390,6.0330
1631256300000,6.0390,6.0260
1631256540000,6.0390,6.0170
1631256660000,6.0390,6.0460
1631256690000,6.0220,6.0580
1631256750000,6.0220,6.0580
1631256810000,6.0220,6.0850
1631256870000,6.0220,6.1150
1631256930000,6.0220,6.1110
1631256990000,6.0239,6.1190
1631257050000,6.0255,6.1880
1631257110000,6.0262,6.2690
1631257140000,6.0296,6.2870
1631257200000,6.0687,6.3140
1631257230000,6.0559,6.2350
1631257260000,6.0564,6.2400
1631257290000,6.0687,6.3010
1631257350000,6.0581,6.3360
1631257380000,6.0605,6.3050
1631257410000,6.0615,6.2900
1631257440000,6.0626,6.2940
1631257470000,6.0632,6.2660
1631257500000,6.0639,6.2630
1631257530000,6.0650,6.2300
1631257560000,6.0658,6.1840
1631257590000,6.0630,6.1500
1631258270000,6.0614,6.1620
1631258430000,6.0426,6.0520
1631258810000,6.0324,6.0000
1631259000000,6.0042,5.9550
1631259030000,5.9985,5.9120
1631259120000,5.9971,5.9240
1631259180000,5.9691,5.9210
1631259330000,5.9635,5.8710
1631259570000,5.9635,5.8780
1631259600000,5.9635,5.8690
1631259630000,5.9635,5.8710
1631259750000,5.9631,5.8750
1631259780000,5.9636,5.8730
1631259810000,5.9358,5.7840
1631259840000,5.9302,5.8400
1631259930000,5.9321,5.8560
1631259960000,5.9321,5.9200
1631259990000,5.9675,5.9300
1631260020000,5.9710,5.9220
1631260140000,5.9761,5.9120
1631260500000,5.9206,5.8620
1631260670000,5.9210,5.8970
1631260700000,5.9210,5.9000
1631260730000,5.9254,5.8860
1631260790000,5.9257,5.8750
1631260970000,5.9257,5.8730
1631261210000,5.9157,5.9520
1631261570000,5.9129,5.9090
1631261840000,5.9101,5.9260
1631261870000,5.9240,5.9880
1631262000000,5.9451,5.9910
1631262030000,5.9451,5.9850
1631262610000,5.9434,5.9800
1631262790000,5.9158,5.9590
1631262820000,5.8883,5.8300
1631262850000,5.8976,5.7700
1631262880000,5.9069,5.8200
1631262910000,5.9069,5.8150
1631262970000,5.9069,5.8120
1631263030000,5.8970,5.8660
1631263120000,5.8973,5.8650
1631263240000,5.9100,5.8690
1631263270000,5.8961,5.8310
1631263870000,5.8677,5.8340
1631263930000,5.8680,5.9460
1631263960000,5.8680,5.9540
1631264110000,5.8790,5.9700
1631264320000,5.8789,5.9860
1631264410000,5.8728,5.9270
1631264530000,5.8729,5.8900
1631265010000,5.8729,5.9850
1631265130000,5.8826,5.9590
1631265590000,5.8824,5.9090
1631265800000,5.9086,5.8840
1631265830000,5.9086,5.9170
1631266400000,5.9083,5.9270
1631266580000,5.9083,5.9840
1631266850000,5.9365,5.9940
1631266970000,5.9322,5.9960
1631267030000,5.9299,5.9760
1631268140000,5.9392,5.9820
1631268830000,5.9392,5.9820
1631268860000,5.9363,6.0230
1631268890000,5.9647,6.0660
1631268950000,5.9644,6.0650
1631269490000,5.9588,6.0410
1631269730000,5.9590,5.9860
1631269850000,5.9587,6.0020
1631269970000,5.9587,5.9880
1631270150000,5.9587,6.0090
1631270240000,5.9587,6.0650
1631270270000,5.9873,6.0630
1631270300000,5.9871,6.0690
1631270540000,6.0158,6.0650
1631270570000,6.0719,6.1780
1631270670000,6.0719,6.1950
1631270730000,6.0857,6.1630
1631270790000,6.0842,6.1280
1631270820000,6.0837,6.1340
1631270850000,6.0853,6.1500
1631271000000,6.0805,6.1430
1631271060000,6.0805,6.1620
1631271090000,6.0686,6.1480
1631271150000,6.0981,6.1800
1631271180000,6.0949,6.2160
1631271210000,6.0947,6.1980
1631271270000,6.1402,6.1840
1631271900000,6.1317,6.2010
1631271990000,6.1306,6.0440
1631272350000,6.1074,6.0180
1631272470000,6.1070,6.0300
1631272650000,6.1054,6.0380
1631272870000,6.0766,6.0410
1631272900000,6.0766,5.9590
1631272930000,6.0505,5.9500
1631272960000,6.0573,5.9570
1631273080000,6.0552,6.0050
1631273200000,6.0552,6.0000
1631273230000,6.0546,6.0050
1631273470000,6.0546,6.0020
1631273590000,6.0546,5.9880
1631273620000,6.0546,6.0250
1631273650000,6.0546,6.0110
1631273710000,6.1816,5.9980
1631273740000,6.0489,6.0250
1631273770000,6.0489,6.0250
1631273800000,6.0505,6.0170
1631273920000,6.0501,6.0040
1631273980000,6.0499,5.9890
1631274230000,6.0501,6.0020
1631274470000,6.0360,5.9840
1631274590000,6.0360,6.0190
1631274650000,6.0360,5.9800
1631275220000,6.0425,5.9950
1631275500000,6.0369,6.0440
1631276130000,6.0208,6.0040
1631276160000,6.0139,5.9390
1631276190000,5.9753,5.8960
1631276220000,5.9846,5.8910
1631276250000,5.9850,5.8950
1631276520000,5.9887,5.8990
1631276610000,5.9911,5.9220
1631276880000,5.9844,5.8950
1631276940000,5.9872,5.8810
1631277040000,5.9872,5.8680
1631277100000,5.9672,5.8510
1631277130000,5.9397,5.8370
1631277160000,5.9016,5.7930
1631277190000,5.9110,5.7970
1631277220000,5.9117,5.8310
1631277250000,5.9117,5.8390
1631277280000,5.9117,5.8340
1631277310000,5.9119,5.8370
1631277400000,5.9278,5.8670
1631278060000,5.9006,5.8610
1631278210000,5.9005,5.7950
1631278330000,5.8951,5.7850
1631278600000,5.8889,5.8020
1631278720000,5.8890,5.7950
1631278780000,5.8890,5.7940
1631279260000,5.8890,5.7840
1631279350000,5.8851,5.7990
1631279710000,5.8851,5.8450
1631279770000,5.8900,5.8160
1631279860000,5.8908,5.7810
1631280320000,5.8908,5.7510
1631280380000,5.8638,5.7070
1631280410000,5.8505,5.7290
1631280440000,5.8505,5.7470
1631280470000,5.8598,5.7430
1631280500000,5.8598,5.7600
